scenario,interval,mean,std,median,mad,cv
cross,ex_intvl_send_p50_stat,2066.1,13.42841100883579,2066.0,9.5,0.007083254259438528
cross,ex_intvl_send_p99_stat,3088.1,175.08693078963185,3087.0,104.5,0.052145784353741495
cross,ex_intvl_send_max_stat,2647264.5,1237351.2671943197,2730666.0,1253258.0,0.7069870291427804
cross,ex_intvl_send_mean_stat,2132.494763,33.0818028440701,2115.716947,15.96783174999996,0.011625935961886203
cross,gw_intvl_decode_p50_stat,68.7,0.48304589153964794,69.0,0.0,0.0
cross,gw_intvl_decode_p99_stat,97.5,16.473885057535423,105.5,9.0,0.13141035639810425
cross,gw_intvl_decode_max_stat,60516.7,24644.671959900606,61866.5,10768.5,0.2681261724180291
cross,gw_intvl_decode_mean_stat,70.4613865,0.9608944699436455,70.30017225,0.7444935000000044,0.01631338420455871
cross,gw_intvl_send_p50_stat,1991.3,19.900027917345017,1996.0,7.5,0.005788156563126252
cross,gw_intvl_send_p99_stat,2887.4010000000007,268.4845189184833,3001.5,152.50500000000466,0.07826818777511482
cross,gw_intvl_send_max_stat,899552.3,876483.637257048,376297.0,51411.5,0.21045975600682437
cross,gw_intvl_send_mean_stat,2024.4595702,28.60883139506418,2018.1291265,12.027999500000078,0.009180873307706764
cross,lob_intvl_decode_p50_stat,66.7,3.368151487751767,65.0,0.0,0.0
cross,lob_intvl_decode_p99_stat,109.1,2.5582111805799856,109.0,1.0,0.014132306422018346
cross,lob_intvl_decode_max_stat,156220.0,128542.65756117263,172908.5,142972.5,1.2737251124814568
cross,lob_intvl_decode_mean_stat,69.0017912,3.349301643831758,67.53264725,0.39632675000000006,0.009040223239471042
cross,lob_intvl_apply_p50_stat,126.6,1.7126976771553504,127.0,0.5,0.006064651181102361
cross,lob_intvl_apply_p99_stat,2375.1,10.235558932792419,2374.5,7.0,0.00454114542008844
cross,lob_intvl_apply_max_stat,332968.7,89069.33092578313,293922.0,31296.5,0.16402242208851325
cross,lob_intvl_apply_mean_stat,171.13370855,2.2008293458880375,171.94511675,1.0993839999999864,0.009849158105954636
cross,ex2gw_trans_p50_stat,1086.7,15.377111417803915,1083.5,6.0,0.008530252330410706
cross,ex2gw_trans_p99_stat,473037.21800000005,461776.6966936381,448994.4400000004,421201.4100000004,1.4450683747312638
cross,ex2gw_trans_max_stat,2084842.3,862341.2948015485,1695792.5,303852.5,0.276013069667132
cross,ex2gw_trans_mean_stat,17787.39263045,19198.332735464664,11998.044354000001,7715.379013750001,0.990572679282445
cross,gw2lob_trans_p50_stat,1138.2,11.213087591441232,1138.5,9.5,0.012853757839262186
cross,gw2lob_trans_p99_stat,1932.9,83.04944979415042,1925.0,51.5,0.041211273818181814
cross,gw2lob_trans_max_stat,1364587.5,1555296.6564380536,473998.0,180825.0,0.5876537446466018
cross,gw2lob_trans_mean_stat,1584.13539395,388.2233808456313,1408.74914275,125.03691524999999,0.13672380283766908
cross,w2w_p50_stat,6533.2,36.571999003487775,6525.5,11.0,0.0025966800091946976
cross,w2w_p99_stat,485276.8540000001,459895.65681376954,457668.7400000002,410692.495,1.3823087592073529
