scenario,interval,mean,std,median,mad,cv
cross,ex_intvl_send_p50_stat,2355.7,148.2513256451879,2361.0,95.5,0.062308447141041924
cross,ex_intvl_send_p99_stat,4618.9,339.39077771795746,4492.0,73.5,0.025205025133570792
cross,ex_intvl_send_max_stat,34791090.5,13434235.357431898,28200722.0,312117.0,0.017048914779692517
cross,ex_intvl_send_mean_stat,2559.2463274000006,73.13088968965725,2551.12326025,48.15506349999987,0.029077031082570835
cross,gw_intvl_decode_p50_stat,71.1,3.9001424475410014,70.0,1.0,0.022006019999999998
cross,gw_intvl_decode_p99_stat,117.2,5.028805910838962,117.5,4.0,0.0524398774468085
cross,gw_intvl_decode_max_stat,42973.0,43907.01287190161,28604.5,4163.0,0.22418760293660087
cross,gw_intvl_decode_mean_stat,75.86707584999999,5.049312325113622,75.49523049999999,3.4318342500000014,0.07002390594665384
cross,gw_intvl_send_p50_stat,2501.3,74.49690523027711,2483.5,40.0,0.024810491644856048
cross,gw_intvl_send_p99_stat,5105.701000000001,502.42115203283294,5251.0,409.0,0.11998330843648829
cross,gw_intvl_send_max_stat,29246687.8,900615.0015572446,28886571.5,164054.5,0.008748461636103128
cross,gw_intvl_send_mean_stat,2545.6451042,137.86486097317285,2490.7164085,71.09422599999994,0.04396930408178836
cross,lob_intvl_decode_p50_stat,68.8,1.2292725943057181,68.5,0.5,0.011243951824817517
cross,lob_intvl_decode_p99_stat,115.1,2.378141197564929,115.5,1.0,0.013336981818181817
cross,lob_intvl_decode_max_stat,174337.3,113628.19901185522,170921.5,104459.5,0.9414359763593227
cross,lob_intvl_decode_mean_stat,72.64851995000001,1.5284151248386408,72.55009275,0.8323872499999965,0.017673680134435724
cross,lob_intvl_apply_p50_stat,182.1,3.2472210341220142,182.5,2.5,0.02110166301369863
cross,lob_intvl_apply_p99_stat,2505.3,44.964306832073916,2502.0,29.0,0.017854604556354913
cross,lob_intvl_apply_max_stat,30584407.3,861202.1150990761,30246679.0,167315.0,0.00852112083250528
cross,lob_intvl_apply_mean_stat,256.66930325000004,5.647007203684124,257.26668474999997,3.2420800000000156,0.01941242185075432
cross,ex2gw_trans_p50_stat,3138.4,109.69270207670559,3105.5,43.5,0.021577308291740458
cross,ex2gw_trans_p99_stat,740681.0150000004,427260.88763266033,644499.3650000003,216992.89500000037,0.5186358858646096
cross,ex2gw_trans_max_stat,32745482.8,10954995.229642805,28979369.0,236463.5,0.012569405348988101
cross,ex2gw_trans_mean_stat,46458.381960299994,36860.79679109719,31464.941792999998,5782.712755750001,0.28310284308207406
cross,gw2lob_trans_p50_stat,3467.1,45.28293767463022,3455.0,27.5,0.012260951808972503
cross,gw2lob_trans_p99_stat,341620.63800000027,220309.804141663,300393.4250000004,150064.59000000008,0.7695331740973551
cross,gw2lob_trans_max_stat,30589120.9,862882.644641456,30254357.0,168105.5,0.008559207179901393
cross,gw2lob_trans_mean_stat,26126.3212882,6635.232258868183,24316.169955999998,3379.640665249999,0.214099128871105
