scenario,interval,mean,std,median,mad,cv
cross,ex_intvl_send_p50_stat,1933.1,47.57555394667868,1916.5,24.5,0.01969231635794417
cross,ex_intvl_send_p99_stat,3467.4,247.383732511075,3534.0,153.0,0.0666905699490662
cross,ex_intvl_send_max_stat,35119492.2,10753246.488621313,30189630.0,429108.5,0.021895197666281434
cross,ex_intvl_send_mean_stat,3781.6314764500007,83.92142451298938,3773.14516575,56.08461925000006,0.02289706436099424
cross,gw_intvl_decode_p50_stat,69.9,3.2472210341220147,69.0,0.0,0.0
cross,gw_intvl_decode_p99_stat,107.8,8.804039476916895,109.5,1.5,0.02110166301369863
cross,gw_intvl_decode_max_stat,107239.9,81848.35244992208,104078.0,42682.5,0.6317284767722284
cross,gw_intvl_decode_mean_stat,71.7514102,3.227578130112001,70.72801949999999,0.612214250000001,0.013333724579760805
cross,gw_intvl_send_p50_stat,2078.8,32.358409520040794,2078.5,21.5,0.015934115997113304
cross,gw_intvl_send_p99_stat,4527.6,314.08993757980994,4464.0,126.5,0.04365217452956989
cross,gw_intvl_send_max_stat,30739713.7,3862267.8560745185,29607704.5,439636.0,0.022873259310271756
cross,gw_intvl_send_mean_stat,2436.7141581500005,51.40177428954085,2435.87063275,27.338272250000045,0.017288463125557266
cross,lob_intvl_decode_p50_stat,67.3,0.4830458915396479,67.0,0.0,0.0
cross,lob_intvl_decode_p99_stat,107.2,2.8596814119369625,108.0,2.5,0.03565790277777777
cross,lob_intvl_decode_max_stat,99430.3,82740.21700888738,84476.0,69230.0,1.2624103120649652
cross,lob_intvl_decode_mean_stat,69.24787865,0.7009816936976097,69.288847,0.4351909999999961,0.009675114517166001
cross,lob_intvl_apply_p50_stat,157.2,0.6324555320336759,157.0,0.0,0.0
cross,lob_intvl_apply_p99_stat,2434.0,34.48349041369088,2437.5,18.5,0.011691403446153844
cross,lob_intvl_apply_max_stat,29835686.5,409309.08101749816,29785178.5,202806.5,0.010488688951758337
cross,lob_intvl_apply_mean_stat,229.64127125,3.5289068610868477,229.12367325,2.3250644999999963,0.015631641468458756
cross,ex2gw_trans_p50_stat,614236.2,8934.219191774213,614948.75,3460.75,0.008669036826320892
cross,ex2gw_trans_p99_stat,1111643.5369999998,125246.21132885017,1073870.05,43090.98999999999,0.06181221195542792
cross,ex2gw_trans_max_stat,33720617.2,7461963.825561379,30378109.5,317656.0,0.01610778643873148
cross,ex2gw_trans_mean_stat,615848.5542628,15159.176108579924,614270.7957820001,9558.257652249944,0.02396946873486871
cross,gw2lob_trans_p50_stat,2715.9,115.92569459212513,2710.5,38.5,0.02188017852794687
