scenario,interval,mean,std,median,mad,cv
cross,ex_intvl_send_p50_stat,1995.2,173.62526697843643,1935.5,24.5,0.01949900506329114
cross,ex_intvl_send_p99_stat,3579.501000000001,191.64604819243766,3632.0,56.0,0.023750990748898675
cross,ex_intvl_send_max_stat,37781845.8,22519703.347528357,30653396.5,449207.5,0.022573969773316962
cross,ex_intvl_send_mean_stat,3923.2332277999994,150.45567635979344,3903.43377425,68.57017199999996,0.027060010867169308
cross,gw_intvl_decode_p50_stat,70.8,3.614784456460256,70.0,0.0,0.0
cross,gw_intvl_decode_p99_stat,110.4,9.559172442098625,113.0,4.5,0.06134421504424778
cross,gw_intvl_decode_max_stat,41742.2,35843.20042382128,29695.0,4045.5,0.20985939631924563
cross,gw_intvl_decode_mean_stat,73.44758565,4.2605663477283064,71.88059275,1.1069307500000036,0.023721838543381453
cross,gw_intvl_send_p50_stat,2231.2,158.99322137891428,2173.5,47.5,0.03366460386473429
cross,gw_intvl_send_p99_stat,4865.901000000001,368.7634987495375,4973.005000000005,288.0,0.08920991698178456
cross,gw_intvl_send_max_stat,29985316.1,399834.2564620301,30013525.0,270385.5,0.0138773306517545
cross,gw_intvl_send_mean_stat,2522.8198841,96.04484313702079,2510.53237325,53.91609749999998,0.03308203123705187
cross,lob_intvl_decode_p50_stat,68.0,0.0,68.0,0.0,0.0
cross,lob_intvl_decode_p99_stat,111.4,2.170509412813294,112.0,1.0,0.013753762499999999
cross,lob_intvl_decode_max_stat,101339.7,118833.8713452524,41727.5,28498.5,1.052056779531484
cross,lob_intvl_decode_mean_stat,70.6399429,0.49620972787117684,70.6551525,0.34799049999999454,0.007586877874146425
cross,lob_intvl_apply_p50_stat,151.2,1.9321835661585915,151.0,1.0,0.010201466225165563
cross,lob_intvl_apply_p99_stat,2465.3,75.01118435125377,2460.5,64.0,0.040067860028449497
cross,lob_intvl_apply_max_stat,30309662.3,302108.03702982,30366208.5,156963.0,0.007962441679480663
cross,lob_intvl_apply_mean_stat,229.94190259999996,2.8563812066763368,229.76264525,1.8307152500000115,0.012273853068404153
cross,ex2gw_trans_p50_stat,635280.3,25846.222181716745,633722.5,16378.5,0.03981205006907597
cross,ex2gw_trans_p99_stat,1217486.6409999998,170403.9046260559,1179894.6300000001,109600.12000000011,0.14308936238701936
cross,ex2gw_trans_max_stat,34486552.0,11562697.965513239,30834729.5,411267.5,0.02054583479075112
cross,ex2gw_trans_mean_stat,642149.4688116001,32540.28896908817,640181.3027275,17274.62407349999,0.04156666320369164
cross,gw2lob_trans_p50_stat,2861.8,142.83230260227083,2841.5,117.0,0.06342752201302128
cross,gw2lob_trans_p99_stat,66531.02400000002,54027.20558024802,60398.57500000007,50684.070000000065,1.292660068008194
cross,gw2lob_trans_max_stat,30317494.0,302820.253203851,30373066.0,156122.0,0.007917991216652279
cross,gw2lob_trans_mean_stat,16065.268869050002,3420.1420327782616,14777.66216975,2759.570223749999,0.28765720711689546
cross,w2w_p50_stat,647181.2,26901.691550697866,646533.0,17760.25,0.042315348434418656
cross,w2w_p99_stat,1289980.557,187044.06021752534,1302986.105,178274.41000000003,0.21076027993128446
cross,w2w_max_stat,34717131.4,11502319.50576,31141904.5,191806.0,0.009487604300128785
cross,w2w_mean_stat,665034.8202237,34679.16931516392,664440.12507725,20843.12551049993,0.048322181890395506
add,ex_intvl_send_p50_stat,1922.5,29.258427086149993,1913.0,9.0,0.0072471472033455294
add,ex_intvl_send_p99_stat,3561.5,205.6270896550355,3590.0,196.0,0.08410100122562673
add,ex_intvl_send_max_stat,67349915.2,63101124.07287721,31041429.5,442633.5,0.021965551417562776
add,ex_intvl_send_mean_stat,3929.248079,132.37882243967064,3943.84321925,116.87883325000007,0.04565157536347764
add,gw_intvl_decode_p50_stat,69.8,1.6865480854231358,70.0,0.5,0.011003009999999999
add,gw_intvl_decode_p99_stat,113.6,5.081557066709201,113.5,2.5,0.03392998678414096
add,gw_intvl_decode_max_stat,33174.3,13939.067608304684,31725.5,4654.0,0.2259734660005358
add,gw_intvl_decode_mean_stat,72.60746265,2.26717446130343,72.0941475,1.9059065000000075,0.04072312747715216
add,gw_intvl_send_p50_stat,2201.8,129.6026405766659,2151.5,49.5,0.03544078982105507
add,gw_intvl_send_p99_stat,4963.6,412.4558427543756,4888.5,374.5,0.11800916729057992
add,gw_intvl_send_max_stat,30078015.6,373986.80066850845,29964077.0,174223.0,0.008956619540531818
add,gw_intvl_send_mean_stat,2522.9280766,78.81868168354717,2509.52723525,57.31005400000004,0.03517859155968116
add,lob_intvl_decode_p50_stat,68.6,1.8973665961010275,68.0,0.0,0.0
add,lob_intvl_decode_p99_stat,112.6,3.0258148581093915,112.0,2.0,0.027507524999999998
add,lob_intvl_decode_max_stat,101908.3,99963.06524139582,53111.0,35201.0,1.020963147020391
add,lob_intvl_decode_mean_stat,71.52054685,2.5763369604125947,70.5551785,0.5303559999999976,0.011579188790775949
add,lob_intvl_apply_p50_stat,186.3,2.4060109910158114,185.5,1.5,0.012456237735849056
add,lob_intvl_apply_p99_stat,2583.101000000001,53.72884399153289,2577.0,36.5,0.021818153317811406
add,lob_intvl_apply_max_stat,30486740.6,358512.5869072568,30427123.5,229264.0,0.011606853728700316
add,lob_intvl_apply_mean_stat,268.71428860000003,4.731874504637924,269.73362175,3.8579964999999845,0.02203262734236829
add,ex2gw_trans_p50_stat,630015.1,18321.75657638875,628118.0,19203.5,0.04709542212593811
