scenario,interval,mean,std,median,mad,cv
cross,ex_intvl_send_p50_stat,1931.4,79.33081228487312,1900.5,21.5,0.017426498342541435
cross,ex_intvl_send_p99_stat,3385.4010000000007,274.13653777512667,3438.0050000000047,170.99499999999534,0.0766154666130481
cross,ex_intvl_send_max_stat,46694793.4,28854552.327689048,30836695.5,1058488.0,0.052875885058540066
cross,ex_intvl_send_mean_stat,3326.3306279500002,69.29274727204793,3315.249315,28.041801750000104,0.013029545414522649
cross,gw_intvl_decode_p50_stat,70.3,2.0575065816014617,69.5,0.5,0.01108216834532374
cross,gw_intvl_decode_p99_stat,99.9,13.245124889306759,104.0,8.0,0.11849395384615383
cross,gw_intvl_decode_max_stat,46728.0,94183.83659040913,11177.5,4071.0,0.5610427662178482
cross,gw_intvl_decode_mean_stat,71.5519376,2.149854343638369,71.04066725,0.9420334999999938,0.020426730478335847
cross,gw_intvl_send_p50_stat,1869.6,23.702789334215968,1863.0,7.0,0.0057879494363929146
cross,gw_intvl_send_p99_stat,2881.5,275.87366271135375,2929.0,70.0,0.03681444110617958
cross,gw_intvl_send_max_stat,29645816.8,374555.4808767914,29577432.5,212199.5,0.011051555974958271
cross,gw_intvl_send_mean_stat,1934.9223341999998,30.710107609296085,1919.350136,9.066859500000078,0.0072768298720632275
cross,lob_intvl_decode_p50_stat,67.7,0.9486832980505138,67.5,0.5,0.011410528888888887
cross,lob_intvl_decode_p99_stat,108.3,4.295992965026311,109.5,2.5,0.03516943835616438
cross,lob_intvl_decode_max_stat,81915.7,88081.66865919883,38993.0,10027.5,0.39613714226912516
cross,lob_intvl_decode_mean_stat,69.97825275,1.2196180624579687,69.6689035,0.534479999999995,0.011817674579477086
cross,lob_intvl_apply_p50_stat,133.4,1.2649110640673518,133.5,0.5,0.005769368539325842
cross,lob_intvl_apply_p99_stat,2377.0,44.71639023395734,2379.0,33.5,0.021691516141235812
cross,lob_intvl_apply_max_stat,30048258.7,358779.8207892504,29962996.5,189421.5,0.009738309458471551
cross,lob_intvl_apply_mean_stat,208.03446309999998,3.7511756987265805,206.95427074999998,1.7195312500000028,0.012798975956715088
cross,ex2gw_trans_p50_stat,536802.4,13981.371979649684,532395.0,5181.5,0.014992051924041358
cross,ex2gw_trans_p99_stat,944548.459,65796.99842169648,919889.56,24083.045000000042,0.04032879544275191
cross,ex2gw_trans_max_stat,30292570.5,529571.955983373,30286565.5,341732.0,0.01738101620881377
cross,ex2gw_trans_mean_stat,531193.6134427001,15032.817629717996,526635.3822182501,6708.492675500078,0.019622505490527336
cross,gw2lob_trans_p50_stat,1232.4,14.736198816369015,1235.5,6.0,0.007480799999999999
cross,gw2lob_trans_p99_stat,2771.6020000000017,328.4501410090884,2678.5,134.5,0.07735175594549187
cross,gw2lob_trans_max_stat,30052485.1,358289.5122946277,29967798.0,191153.5,0.00982577839335743
cross,gw2lob_trans_mean_stat,9796.74143155,578.0412980242598,9542.12471525,230.04713175000052,0.037137381383202335
cross,w2w_p50_stat,544275.1,13930.797085354927,539926.75,5395.5,0.015393465250054751
cross,w2w_p99_stat,966066.555,74573.15148093972,937036.1300000001,31225.12000000011,0.0513318980193092
cross,w2w_max_stat,44534187.9,29257902.421867095,30747449.5,502650.5,0.02518236795285085
cross,w2w_mean_stat,546601.1724898501,14981.299090139248,541752.5680647499,6824.020869999891,0.019403447997939305
add,ex_intvl_send_p50_stat,1900.0,47.976846267525524,1888.5,8.0,0.006525481175536139
add,ex_intvl_send_p99_stat,3308.2,228.18257796967956,3324.5,155.0,0.07181991788238833
add,ex_intvl_send_max_stat,33334079.3,5755474.541852075,30450101.5,493262.5,0.024953352316986525
add,ex_intvl_send_mean_stat,3366.29347885,152.4539128379244,3328.479846,73.73904975000005,0.03412645276704034
add,gw_intvl_decode_p50_stat,70.1,1.5951314818673863,70.0,0.5,0.011003009999999999
add,gw_intvl_decode_p99_stat,105.5,12.186057606953941,108.5,4.0,0.05678972903225806
add,gw_intvl_decode_max_stat,20014.2,11136.922104224108,26443.5,5140.0,0.29942201281978553
add,gw_intvl_decode_mean_stat,72.2744129,3.1774779287198203,71.243817,0.6573232499999975,0.014212528801166645
add,gw_intvl_send_p50_stat,1877.8,30.330769122387178,1862.0,13.0,0.010754821804511277
add,gw_intvl_send_p99_stat,3007.9,228.0830501764166,2989.0,114.5,0.059009116861826694
add,gw_intvl_send_max_stat,29979761.9,901163.6245345915,29563980.5,146512.0,0.007633959173961705
add,gw_intvl_send_mean_stat,1970.92457805,104.14712776201361,1932.9769455,34.99283324999999,0.02788636942122884
add,lob_intvl_decode_p50_stat,67.4,0.5163977794943222,67.0,0.0,0.0
add,lob_intvl_decode_p99_stat,109.6,2.3190036174568114,110.0,2.0,0.028007661818181814
add,lob_intvl_decode_max_stat,162861.7,119523.88683908427,184161.0,142994.0,1.1960785273298906
add,lob_intvl_decode_mean_stat,70.0626211,0.7262122271239855,69.92752725,0.5298852499999995,0.011672750499616004
add,lob_intvl_apply_p50_stat,162.8,1.0327955589886446,163.0,1.0,0.009450438036809814
add,lob_intvl_apply_p99_stat,2422.6,31.784692332421066,2419.5,14.5,0.009231705021698696
add,lob_intvl_apply_max_stat,30357740.8,791634.0727619885,29963360.5,129677.0,0.006666716368072266
add,lob_intvl_apply_mean_stat,239.10529770000002,2.7275878757843195,239.0143035,1.9873434999999944,0.01280821445295173
add,ex2gw_trans_p50_stat,541664.65,19997.64264447465,534953.5,11996.5,0.034544432974267854
