scenario,interval,mean,std,median,mad,cv
cross,ex_intvl_send_p50_stat,2072.1,11.149987543590452,2073.0,8.0,0.005944703907380607
cross,ex_intvl_send_p99_stat,3254.5,155.3993064477588,3204.5,29.5,0.014180818005929161
cross,ex_intvl_send_max_stat,24344322.1,232810.98373165302,24338185.0,164597.0,0.010417734156256925
cross,ex_intvl_send_mean_stat,2149.6628661499994,28.599113250447978,2144.3214392500004,10.070791249999957,0.007234578768124714
cross,gw_intvl_decode_p50_stat,69.3,0.4830458915396479,69.0,0.0,0.0
cross,gw_intvl_decode_p99_stat,106.6,6.275171533733384,105.0,4.0,0.058682719999999994
cross,gw_intvl_decode_max_stat,54620.2,96429.82070662119,17620.0,9132.0,0.7983614202497161
cross,gw_intvl_decode_mean_stat,71.74763229999999,1.4728191546206773,70.91268775,0.27916800000000563,0.00606430774294278
cross,gw_intvl_send_p50_stat,1930.8,36.96484816687335,1924.0,18.0,0.014411426819126816
cross,gw_intvl_send_p99_stat,3142.1,138.7271102240334,3091.5,85.5,0.042602629694323144
cross,gw_intvl_send_max_stat,26898580.3,218304.25888503515,26872592.5,151824.5,0.008703057170397682
cross,gw_intvl_send_mean_stat,2019.7153919500001,54.1867104824427,2003.8665852499998,30.614898999999923,0.023534423861134884
cross,lob_intvl_decode_p50_stat,67.2,0.6324555320336759,67.0,0.0,0.0
cross,lob_intvl_decode_p99_stat,108.7,3.16403399335581,108.0,2.0,0.02852632222222222
cross,lob_intvl_decode_max_stat,227020.8,107562.26367272121,166470.0,53763.5,0.4974977229464768
cross,lob_intvl_decode_mean_stat,69.63432455,1.0520945140606253,69.28283575,0.7376142500000071,0.016399975020435865
cross,lob_intvl_apply_p50_stat,136.2,1.1352924243950935,136.0,1.0,0.011326627941176469
cross,lob_intvl_apply_p99_stat,2413.301000000001,14.600434125967409,2408.0,5.5,0.0035184043604651162
cross,lob_intvl_apply_max_stat,29852240.1,206434.6891195319,29827283.5,144543.0,0.007464881286296151
cross,lob_intvl_apply_mean_stat,212.7732453,3.7226486955318685,211.300334,1.4641194999999954,0.01067372193532497
cross,ex2gw_trans_p50_stat,1163.4,31.60942194276187,1167.5,16.5,0.021770409507494645
cross,ex2gw_trans_p99_stat,1674.5,117.8636217555414,1655.5,80.0,0.07443896828752641
cross,ex2gw_trans_max_stat,26893704.4,219310.74410535488,26866969.0,151382.0,0.008679508000132058
cross,ex2gw_trans_mean_stat,6544.72444965,73.74326833285207,6536.32479825,38.813099500000135,0.009147117212739636
cross,gw2lob_trans_p50_stat,1234.8,10.538817137927134,1234.5,7.0,0.008734669744835966
cross,gw2lob_trans_p99_stat,1950.1,58.935840821467316,1928.5,24.0,0.019170398548094374
cross,gw2lob_trans_max_stat,29847269.7,207079.9043343468,29821647.5,145399.5,0.007510534129588246
cross,gw2lob_trans_mean_stat,8840.88938985,746.4277559840078,8337.080165,144.71990949999918,0.02673953484767314
